1, -4.186207 86.614696 -67.086549 -8.218883 -2.008479 -5.885369 -3.682023 -2.496516 -1.383579 7.498231 7.280433 -4.12647 -10.465559;
2, 18.143188 53.73904 -73.886297 5.081532 -8.240374 -3.61299 -1.606652 1.629183 6.853583 2.338402 -11.842234 -4.858212 7.850363;
3, 134.715476 -79.500228 2.704919 -0.584316 -9.183709 -10.623012 -2.6994 -4.684311 -3.503713 -2.428622 -2.875105 -1.191606 0.87589;
4, 162.916589 -23.846998 -41.811648 4.745582 -7.957173 2.997 1.451543 4.889369 1.984639 -0.244061 0.550835 -0.65209 -1.475086;
5, 61.316813 25.927491 21.827263 20.701805 13.275246 6.077498 4.746242 5.275101 3.390859 2.390174 3.085397 2.467845 1.936227;
6, 53.327678 -43.093305 -53.354188 5.700463 13.940818 -3.283332 -16.923944 -4.969853 21.442293 -11.858916 -7.874163 -0.446821 5.911041;
7, 94.267042 26.966465 -34.10193 -5.755376 -17.458864 -11.198068 -19.162778 -10.275522 -10.951657 -4.950788 -4.477488 2.683483 1.561686;
8, -2.437344 56.122231 -67.338548 11.776796 -32.629069 -29.917999 -8.639332 -2.441844 12.686028 22.233498 15.321554 -3.461502 -13.262647;
9, -150.530051 100.292862 -41.150652 -51.40184 -43.88369 -24.199937 -7.489611 8.835836 16.722394 10.512758 2.990661 1.377315 -6.876555;
